19:42:22; legoDBuddy; [-7, -1]
19:42:27; legoDBuddy; [-7, -1]
19:42:32; legoDBuddy; [-7, -1]
19:42:37; legoDBuddy; [-7, -1]
19:42:42; legoDBuddy; [-7, -1]
19:42:47; legoDBuddy; [-7, -1]
19:42:52; legoDBuddy; [-7, -1]
19:42:57; legoDBuddy; [-7, -1]
19:43:02; legoDBuddy; [-8, -1]
19:43:07; legoDBuddy; [-7, -1]
19:43:12; legoDBuddy; [-8, -1]
19:43:17; legoDBuddy; [-8, -1]
19:43:22; legoDBuddy; [-8, -1]
19:43:27; legoDBuddy; [-8, -1]
19:43:32; legoDBuddy; [-8, -1]
19:43:37; legoDBuddy; [-8, -1]
19:43:42; legoDBuddy; [-8, -1]
19:43:47; legoDBuddy; [-8, -1]
19:43:52; legoDBuddy; [-9, -1]
19:43:57; legoDBuddy; [-9, -1]
19:44:02; legoDBuddy; [-9, -1]
19:44:07; legoDBuddy; [-9, -1]
19:44:12; legoDBuddy; [-9, -1]
19:44:17; legoDBuddy; [-9, -1]
19:44:22; legoDBuddy; [-9, -1]
19:44:27; legoDBuddy; [-9, -1]
19:44:32; legoDBuddy; [-9, -1]
19:44:37; legoDBuddy; [-6, -1]
19:44:42; legoDBuddy; [-6, 0]
19:44:47; legoDBuddy; [-7, 0]
19:44:52; legoDBuddy; [-7, 0]
19:44:57; legoDBuddy; [-6, 0]
19:45:02; legoDBuddy; [-6, 0]
19:45:07; legoDBuddy; [-6, 0]
19:45:12; legoDBuddy; [-7, 0]
19:45:17; legoDBuddy; [-7, 0]
19:45:22; legoDBuddy; [-7, 0]
19:45:27; legoDBuddy; [-7, 0]
19:45:32; legoDBuddy; [-7, 0]
19:45:37; legoDBuddy; [-7, 0]
19:45:42; legoDBuddy; [-7, -1]
19:45:47; legoDBuddy; [-9, -1]
19:45:52; legoDBuddy; [-9, -1]
19:45:57; legoDBuddy; [-9, -1]
19:46:02; legoDBuddy; [-9, -1]
19:46:07; legoDBuddy; [-9, -1]
19:46:12; legoDBuddy; [-9, -1]
19:46:17; legoDBuddy; [-9, -1]
19:46:22; legoDBuddy; [-10, -1]
19:46:27; legoDBuddy; [-10, -1]
19:46:32; legoDBuddy; [-10, -1]
19:46:37; legoDBuddy; [-10, -1]
19:46:42; legoDBuddy; [-10, -1]
19:46:47; legoDBuddy; [-10, -1]
19:46:52; legoDBuddy; [-10, -1]
19:46:57; legoDBuddy; [-10, -1]
19:47:02; legoDBuddy; [-10, -1]
19:47:07; legoDBuddy; [-10, -1]
19:47:12; legoDBuddy; [-10, -1]
19:47:17; legoDBuddy; [-10, -1]
19:47:22; legoDBuddy; [-9, -1]
19:47:27; legoDBuddy; [-9, -1]
19:47:32; legoDBuddy; [-10, -1]
19:47:37; legoDBuddy; [-10, -1]
19:47:42; legoDBuddy; [-10, -1]
19:47:47; legoDBuddy; [-9, -1]
19:47:52; legoDBuddy; [-10, -1]
19:47:57; legoDBuddy; [-10, -1]
19:48:02; legoDBuddy; [-10, -1]
19:48:07; legoDBuddy; [-10, -1]
19:48:12; legoDBuddy; [-10, -1]
19:48:17; legoDBuddy; [-10, -1]
19:48:22; legoDBuddy; [-10, -1]
19:48:27; legoDBuddy; [-9, -2]
19:48:32; legoDBuddy; [-10, -1]
19:48:37; legoDBuddy; [-10, -1]
19:48:42; legoDBuddy; [-10, -1]
19:48:47; legoDBuddy; [-10, -2]
19:48:52; legoDBuddy; [-10, -2]
19:48:57; legoDBuddy; [-10, -2]
19:49:02; legoDBuddy; [-10, -2]
19:49:07; legoDBuddy; [-10, -1]
19:49:12; legoDBuddy; [-10, -2]
19:49:17; legoDBuddy; [-10, -2]
19:49:22; legoDBuddy; [-10, -1]
19:49:27; legoDBuddy; [-10, -1]
19:49:32; legoDBuddy; [-10, -1]
19:49:37; legoDBuddy; [-10, 0]
19:49:42; legoDBuddy; [-9, 0]
19:49:47; legoDBuddy; [-10, -1]
19:49:52; legoDBuddy; [-10, 0]
19:49:57; legoDBuddy; [-10, 0]
19:50:02; legoDBuddy; [-10, -1]
19:50:07; legoDBuddy; [-10, 0]
19:50:12; legoDBuddy; [-10, 0]
19:50:17; legoDBuddy; [-10, 0]
19:50:22; legoDBuddy; [-10, 0]
19:50:27; legoDBuddy; [-10, 0]
19:50:32; legoDBuddy; [-10, 0]
19:50:37; legoDBuddy; [-9, 0]
19:50:42; legoDBuddy; [-10, 0]
19:50:47; legoDBuddy; [-10, 0]
19:50:52; legoDBuddy; [-9, 0]
19:50:57; legoDBuddy; [-9, 0]
19:51:02; legoDBuddy; [-10, 0]
19:51:07; legoDBuddy; [-9, 0]
19:51:12; legoDBuddy; [-10, 0]
19:51:17; legoDBuddy; [-9, 0]
19:51:22; legoDBuddy; [-9, 0]
19:51:27; legoDBuddy; [-10, 0]
19:51:32; legoDBuddy; [-10, 0]
19:51:37; legoDBuddy; [-9, 1]
19:51:42; legoDBuddy; [-9, 1]
19:51:47; legoDBuddy; [-9, 1]
19:51:52; legoDBuddy; [-9, 1]
19:51:57; legoDBuddy; [-9, 1]
19:52:02; legoDBuddy; [-9, 1]
19:52:07; legoDBuddy; [-8, 1]
19:52:12; legoDBuddy; [-8, 1]
19:52:17; legoDBuddy; [-8, 1]
19:52:22; legoDBuddy; [-8, 1]
19:52:27; legoDBuddy; [-8, 1]
19:52:32; legoDBuddy; [-8, 1]
19:52:37; legoDBuddy; [-8, 1]
19:52:42; legoDBuddy; [-8, 1]
19:52:47; legoDBuddy; [-8, 1]
19:52:52; legoDBuddy; [-8, 1]
19:52:57; legoDBuddy; [-8, 1]
19:53:02; legoDBuddy; [-8, 1]
19:53:07; legoDBuddy; [-8, 1]
19:53:12; legoDBuddy; [-8, 1]
19:53:17; legoDBuddy; [-8, 1]
19:53:22; legoDBuddy; [-8, 1]
19:53:27; legoDBuddy; [-8, 1]
19:53:32; legoDBuddy; [-8, 1]
19:53:37; legoDBuddy; [-8, 1]
19:53:42; legoDBuddy; [-8, 1]
19:53:47; legoDBuddy; [-7, 1]
19:53:52; legoDBuddy; [-7, 1]
19:53:57; legoDBuddy; [-7, 1]
19:54:02; legoDBuddy; [-7, 1]
19:54:07; legoDBuddy; [-7, 1]
19:54:12; legoDBuddy; [-7, 1]
19:54:17; legoDBuddy; [-7, 1]
19:54:22; legoDBuddy; [-7, 1]
19:54:27; legoDBuddy; [-7, 1]
19:54:32; legoDBuddy; [-6, 1]
